Customer	City	Channel	Segment	Urbanicity	Traffic	Traffic Index	Equipment (Y/N)	# of doors	Sales 2025 CS
10070	нагнп	Hotels	Seasonal Low/Mid Traffic	5	17340,33	Medium	Yes	1	54
10071	кнгемеж	FSR	Seasonal Low/Mid Traffic	7	12836,32	Medium	Yes	1	0
10072	якзмвеб апъц	Hotels	Seasonal High Traffic	1	24830,26	Medium	Yes	15,8	817
10073	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	4	6041,84	Low	Yes	7,6	892
10074	якзмвеб апъц	Supermarket	Seasonal Low/Mid Traffic	1	21439,15	Medium	Yes	2	363,5
10075	якзмвеб апъц	Hotels	Seasonal High Traffic	1	33755,31	High	Yes	1,3	36
10076	апзькъм	Cafe	Rural Affordable	10	169,73	Low	No	0	0
10077	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	46251,86	High	Yes	3,4	2488
10078	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	4	17090,29	Medium	Yes	5,7	0
10079	онлнпхе	Hotels	Residential	5	12152,4	Medium	Yes	4	181
10080	якзмвеб апъц	Bar	Seasonal High Traffic	2	22507,92	Medium	Yes	1	0
10081	янгнонк	Hotels	Residential	4	28627,76	High	Yes	2,7	0
10082	якзмвеб апъц	Bar	Seasonal High Traffic	1	44549	High	No	0	0
10083	якзмвеб апъц	Bar	Seasonal High Traffic	1	34408,55	High	Yes	1	138
10084	янгнонк	Hotels	Residential	4	28627,76	High	Yes	1	11
10085	якзмвеб апъц	FSR	Seasonal High Traffic	1	33068,83	High	Yes	3	0
10086	кнгемеж	Bar	Seasonal Low/Mid Traffic	7	14356,8	Medium	Yes	6,6	688
10087	меяеазп	FSR	Seasonal High Traffic	2	47408,51	High	Yes	2,7	112
10088	нагнп	Supermarket	Seasonal Low/Mid Traffic	5	20153,36	Medium	Yes	1	0
10089	янгнонк	FSR	Residential	4	32781,64	High	Yes	4	23
10090	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	12666,04	Medium	Yes	2	0
