Customer	City	Channel	Segment	Urbanicity	Traffic	Traffic Index	Equipment (Y/N)	# of doors	Sales 2025 CS
10617	янгнонк	FSR	Residential	5	3268,6	Low	Yes	2	0
10618	нагнп	Qsr	Seasonal Low/Mid Traffic	5	20501,88	Medium	Yes	4,3	724,542
10619	янгнонк	Hotels	Residential	10	12649,6	Medium	Yes	2,6	218
10620	онлнпхе	Qsr	Residential	5	16844,38	Medium	No	0	0
10621	онлнпхе	Qsr	Residential	5	17042,71	Medium	Yes	1	0
10622	йнмярюмрхмнбн	Cafe	Rural Affordable	9	1816	Low	No	0	0
10623	аспцюя	Cafe	Seasonal High Traffic	2	29983,5	High	Yes	1	194
10624	якзмвеб апъц	Qsr	Residential	5	35274,88	High	Yes	2	0
10625	аспцюя	FSR	Residential	9	13703,9	Medium	Yes	1	30
10626	янгнонк	FSR	Seasonal High Traffic	4	32781,64	High	Yes	2,5	364
10627	янгнонк	FSR	Residential	4	32781,64	High	Yes	2	0
10628	опхлнпяйн	Supermarket	Seasonal Low/Mid Traffic	3	15935,5	Medium	Yes	2	2458
10629	якзмвеб апъц	Hotels	Seasonal High Traffic	1	30442,7	High	Yes	0	0
10630	янгнонк	FSR	Residential	4	32781,64	High	Yes	1	28
10631	яхмелнпеж	Cafe	Rural Affordable	6	6195,32	Low	No	0	0
10632	якзмвеб апъц	Hotels	Seasonal High Traffic	1	48099,25	High	No	0	0
10633	янгнонк	FSR	Residential	4	32781,64	High	Yes	1	517
10634	онлнпхе	Cafe	Residential	5	17961,63	Medium	No	0	0
10635	онлнпхе	Hotels	Residential	10	1175,38	Low	Yes	3	236,5
10636	якзмвеб апъц	Supermarket	Seasonal High Traffic	2	16976,63	Medium	Yes	5,7	517,833
10637	янгнонк	FSR	Residential	4	32781,64	High	Yes	1	14
10638	янгнонк	FSR	Residential	4	41346	High	Yes	1	0
10639	онлнпхе	Supermarket	Residential	5	21141,16	Medium	Yes	4,5	0
10640	якзмвеб апъц	Bar	Seasonal High Traffic	1	44276,2	High	Yes	3,7	585
10641	якзмвеб апъц	Bar	Seasonal High Traffic	1	48022,92	High	Yes	7,6	1462
10642	яберх бкюя	Qsr	Seasonal Low/Mid Traffic	3	11027,5	Medium	Yes	6,2	0
10643	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	37648,25	High	Yes	2	59
10644	янгнонк	FSR	Residential	4	32781,64	High	Yes	5	0
10645	меяеазп	Supermarket	Seasonal Low/Mid Traffic	4	12353,48	Medium	Yes	1	63,166
10646	якзмвеб апъц	FSR	Seasonal High Traffic	1	36395,43	High	Yes	3	204
10647	аспцюя	FSR	Residential	4	545,92	Low	Yes	2	0
10648	онлнпхе	FSR	Residential	5	18392,94	Medium	No	0	0
10649	якзмвеб апъц	Cafe	Seasonal High Traffic	1	27037,8	High	Yes	1	215
10650	аспцюя	FSR	Residential	4	13712,1	Medium	Yes	2,5	109
10651	опхлнпяйн	Cafe	Residential	3	8690,38	Low	Yes	1	14
10652	кнгемеж	Qsr	Seasonal Low/Mid Traffic	7	12666,04	Medium	Yes	1	0
10653	йхрем	Hotels	Seasonal Low/Mid Traffic	3	11797,78	Medium	Yes	1	32
10654	юуекни	FSR	Rural Affordable	8	4478,96	Low	Yes	2	0
10655	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	3	12122,42	Medium	Yes	1	18
10656	жюпебн	Cafe	Residential	5	10965,17	Medium	Yes	2	0
10657	пюбдю	Cafe	Rural Affordable	8	2418,39	Low	Yes	1	0
10658	якзмвеб апъц	Bar	Seasonal High Traffic	1	43436,3	High	Yes	0	0
10659	йхрем	Supermarket	Seasonal Low/Mid Traffic	3	11563,84	Medium	Yes	5,7	1544
10660	янгнонк	FSR	Residential	4	32781,64	High	Yes	1	0
10661	янгнонк	FSR	Seasonal Low/Mid Traffic	5	9405,79	Low	No	0	57
10662	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	25351	Medium	Yes	4,2	0
10663	кнгемеж	Qsr	Residential	3	23772,82	Medium	Yes	1	34
10664	опхлнпяйн	Qsr	Residential	3	23772,82	Medium	Yes	0,7	27
10665	опхлнпяйн	FSR	Residential	3	23772,82	Medium	Yes	2	0
10666	кнгемеж	FSR	Seasonal Low/Mid Traffic	7	11327,57	Medium	Yes	2	0
10667	онлнпхе	Hotels	Seasonal High Traffic	5	9708,91	Low	Yes	2	240
10668	пюбдю	FSR	Seasonal Low/Mid Traffic	4	15709,23	Medium	Yes	2	221
10669	опхлнпяйн	Supermarket	Residential	3	16787,5	Medium	Yes	6	0
10670	опхлнпяйн	FSR	Residential	3	23772,82	Medium	Yes	1	116
10671	яхмелнпеж	FSR	Rural Affordable	6	2435,88	Low	No	0	0
10672	яхмелнпеж	Bar	Rural Affordable	6	3296,61	Low	Yes	3	1235
10673	жюпебн	Cafe	Residential	5	13954,27	Medium	Yes	1	0
10674	яхмелнпеж	FSR	Residential	5	12937,24	Medium	Yes	0	0
10675	нагнп	Cafe	Seasonal Low/Mid Traffic	5	17983,74	Medium	Yes	1	1126,519
10676	пюбдю	FSR	Seasonal Low/Mid Traffic	4	18210	Medium	Yes	3	420
10677	пюбдю	Qsr	Seasonal Low/Mid Traffic	4	14591,91	Medium	Yes	4	22,5
10678	жюпебн	Hotels	Seasonal Low/Mid Traffic	9	7706,21	Low	Yes	5,5	0
10679	нагнп	FSR	Seasonal Low/Mid Traffic	5	20501,88	Medium	Yes	3	0
10680	нагнп	FSR	Seasonal Low/Mid Traffic	5	20501,88	Medium	Yes	3	568,917
10681	жюпебн	Cafe	Residential	5	11734,89	Medium	Yes	1,8	0
10682	якзмвеб апъц	Cafe	Seasonal High Traffic	5	35394,71	High	Yes	4	0
10683	йхрем	Hotels	Seasonal Low/Mid Traffic	3	14396,65	Medium	Yes	1	12
10684	опхлнпяйн	Supermarket	Seasonal Low/Mid Traffic	3	15686,2	Medium	Yes	2	0
10685	яберх бкюя	Cafe	Seasonal Low/Mid Traffic	4	18734,75	Medium	No	0	381
10686	янгнонк	Hotels	Seasonal High Traffic	4	28627,76	High	Yes	2	0
10687	йхрем	FSR	Seasonal Low/Mid Traffic	3	10763,4	Medium	No	0	0
10688	кнгемеж	Qsr	Seasonal Low/Mid Traffic	7	11567,82	Medium	No	0	0
10689	янгнонк	FSR	Residential	4	32781,64	High	Yes	1	0
10690	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	3	14937,27	Medium	Yes	1	62
10691	опхлнпяйн	Cafe	Residential	3	17796,67	Medium	Yes	1	0
10692	жюпебн	Hotels	Residential	5	11549,9	Medium	Yes	2	0
10693	опхлнпяйн	Cafe	Residential	3	29807,86	High	Yes	2	0
10694	аъкю	Qsr	Seasonal Low/Mid Traffic	4	17515,85	Medium	Yes	1	27
10695	янгнонк	Bar	Residential	4	28627,76	High	No	0	109
10696	вепмнлнпеж	Hotels	Residential	4	28627,76	High	Yes	6	0
10697	юурнонк	Supermarket	Rural Affordable	5	6310,77	Low	Yes	3,2	562
10698	жюпебн	FSR	Seasonal Low/Mid Traffic	10	4778,74	Low	Yes	1	0
10699	опхлнпяйн	FSR	Seasonal Low/Mid Traffic	3	21056,08	Medium	Yes	1	0
10700	якзмвеб апъц	Hotels	Seasonal High Traffic	1	36526,78	High	Yes	3,5	52
10701	меяеазп	Qsr	Seasonal Low/Mid Traffic	4	15934,91	Medium	Yes	2	0
10702	яхмелнпеж	Cafe	Rural Affordable	6	4002,89	Low	No	0	0
10703	юурнонк	Cafe	Rural Affordable	5	6791,78	Low	No	0	0
10704	нагнп	Qsr	Seasonal Low/Mid Traffic	5	20501,88	Medium	No	0	0
10705	опхлнпяйн	Qsr	Residential	3	21028,25	Medium	Yes	1	0
10706	янгнонк	Cafe	Residential	4	20103,15	Medium	Yes	4	0
10707	янгнонк	Qsr	Residential	4	24245,54	Medium	No	0	119
10708	вепмнлнпеж	FSR	Residential	5	6634,34	Low	Yes	2,3	741
10709	янгнонк	Cafe	Seasonal Low/Mid Traffic	5	9797,47	Low	Yes	5	1452
10710	янгнонк	Supermarket	Residential	4	28627,76	High	No	0	0
10711	янгнонк	FSR	Residential	4	43217,36	High	Yes	2,3	18
10712	аспцюя	Cafe	Seasonal Low/Mid Traffic	4	2541,85	Low	Yes	1	336
10713	нагнп	FSR	Seasonal Low/Mid Traffic	5	20501,88	Medium	Yes	2	257
10714	якзмвеб апъц	Cafe	Seasonal High Traffic	1	34686,71	High	Yes	3,4	143
10715	янгнонк	Bar	Residential	4	31167,32	High	Yes	4	610
10716	меяеазп	Qsr	Residential	2	45385,2	High	Yes	1	0
10717	яхмелнпеж	Hotels	Rural Affordable	9	5711,88	Low	Yes	1	13
10718	янгнонк	Supermarket	Residential	4	22199,6	Medium	Yes	8	2944
10719	янгнонк	FSR	Residential	4	32781,64	High	Yes	8	502
10720	яберх бкюя	Qsr	Seasonal Low/Mid Traffic	3	23053,25	Medium	Yes	1	0
10721	янгнонк	FSR	Residential	4	32781,64	High	Yes	5	281
10722	вепмнлнпеж	FSR	Residential	5	19462,17	Medium	Yes	1	0
10723	янгнонк	Bar	Residential	4	32651,48	High	Yes	0,6	0
10724	меяеазп	FSR	Seasonal High Traffic	2	35418,25	High	Yes	4	548
10725	вепмнлнпеж	FSR	Residential	5	19462,17	Medium	Yes	1	0
10726	якзмвеб апъц	Cafe	Residential	5	34918,2	High	Yes	1	0
10727	меяеазп	Hotels	Residential	2	15412	Medium	Yes	1	0
10728	янгнонк	FSR	Residential	4	32781,64	High	No	0	0
10729	якзмвеб апъц	Cafe	Residential	5	25552,11	High	Yes	2	299
10730	якзмвеб апъц	Hotels	Seasonal High Traffic	1	45925,09	High	Yes	0,7	0
10731	яберх бкюя	FSR	Seasonal Low/Mid Traffic	3	14899,33	Medium	Yes	1,5	0
10732	яберх бкюя	Supermarket	Seasonal Low/Mid Traffic	3	14712,91	Medium	No	0	785,417
10733	якзмвеб апъц	Bar	Seasonal High Traffic	1	33998,12	High	Yes	2,3	834,5
10734	янгнонк	Bar	Residential	4	28627,76	High	No	0	0
10735	пюбюдхмнбн	FSR	Residential	4	32781,64	High	Yes	0,7	0
10736	нагнп	Hotels	Seasonal Low/Mid Traffic	5	18868,67	Medium	No	0	0
10737	япедеж	Cafe	Rural Affordable	10	802,92	Low	Yes	1	0
10738	якзмвеб апъц	FSR	Seasonal High Traffic	1	49958	High	No	0	0
10739	онлнпхе	Qsr	Residential	5	17713,5	Medium	Yes	1	0
10740	аспцюя	Hotels	Residential	5	27242,54	High	Yes	0,7	0
10741	аспцюя	Qsr	Urban High Traffic	3	50022,23	High	No	0	0
10742	янгнонк	FSR	Residential	4	17156,88	Medium	Yes	1	0
10743	янгнонк	FSR	Residential	4	26812,42	High	Yes	4	0
10744	янгнонк	Hotels	Seasonal Low/Mid Traffic	5	9660	Low	Yes	3,3	465
10745	меяеазп	Cafe	Seasonal High Traffic	2	35500,86	High	Yes	2,5	44
10746	яберх бкюя	Cafe	Seasonal Low/Mid Traffic	3	13868,8	Medium	Yes	3	290
10747	аспцюя	Bar	Urban High Traffic	3	39153,09	High	Yes	1	0
10748	якзмвеб апъц	Bar	Seasonal High Traffic	1	29703,66	High	Yes	2,7	261
10749	якзмвеб апъц	Cafe	Seasonal High Traffic	1	42109,83	High	No	0	128
10750	опхлнпяйн	FSR	Seasonal Low/Mid Traffic	3	10617,3	Medium	No	0	0
10751	янгнонк	FSR	Residential	4	31047,42	High	Yes	2	77
10752	якзмвеб апъц	Hotels	Seasonal High Traffic	2	20696,42	Medium	Yes	0	48
10753	юурнонк	Bar	Rural Affordable	5	5186,26	Low	Yes	2	0
10754	нагнп	Cafe	Seasonal Low/Mid Traffic	5	17492,95	Medium	Yes	3	142
10755	янгнонк	Hotels	Residential	5	8760,45	Low	No	0	0
10756	йхрем	Qsr	Seasonal Low/Mid Traffic	3	12890,75	Medium	Yes	1	124
10757	пегнбн	FSR	Rural Affordable	10	271,2	Low	Yes	2	10
10758	аспцюя	Cafe	Residential	6	3822,45	Low	Yes	1	0
10759	якзмвеб апъц	Bar	Seasonal High Traffic	1	29713,3	High	Yes	0	0
10760	яхмелнпеж	Hotels	Rural Affordable	6	5557,48	Low	Yes	1,6	109
10761	янгнонк	Hotels	Residential	4	9085,63	Low	Yes	2	0
10762	янгнонк	Qsr	Residential	4	24481,18	Medium	Yes	1	0
10763	янгнонк	FSR	Residential	4	32701,83	High	Yes	4,5	0
10764	янгнонк	FSR	Residential	5	16721,62	Medium	Yes	3,3	2019
10765	жюпебн	FSR	Residential	5	6408,88	Low	Yes	2,5	752
10766	меяеазп	FSR	Seasonal High Traffic	2	47408,51	High	Yes	2	271,5
10767	якзмвеб апъц	FSR	Seasonal High Traffic	2	26640,93	High	No	0	0
10768	вепмнлнпеж	Bar	Residential	5	20839	Medium	Yes	2	321
10769	жюпебн	Supermarket	Residential	5	5926,7	Low	Yes	4	116,083
10770	жюпебн	Supermarket	Residential	5	7442,5	Low	Yes	3	1259,5
10771	меяеазп	Supermarket	Seasonal High Traffic	2	33786,47	High	Yes	1,3	0
10772	янгнонк	FSR	Residential	4	24245,54	Medium	Yes	0,3	0
10773	нагнп	Cafe	Seasonal Low/Mid Traffic	5	20640,65	Medium	Yes	1,5	175
10774	йхрем	FSR	Seasonal Low/Mid Traffic	3	13552,42	Medium	Yes	4	0
10775	йхрем	Hotels	Seasonal Low/Mid Traffic	3	9843,72	Low	Yes	5,5	423
10776	жюпебн	Cafe	Residential	5	6282,38	Low	Yes	1	34
10777	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	14001,56	Medium	Yes	3,5	465
10778	опхлнпяйн	FSR	Seasonal Low/Mid Traffic	3	17921,89	Medium	Yes	3	0
10779	якзмвеб апъц	Qsr	Seasonal High Traffic	2	43630	High	Yes	2	159
10780	ьйнпохкнбжх	Supermarket	Seasonal Low/Mid Traffic	7	1556,34	Low	Yes	2,5	144
10781	якзмвеб апъц	Qsr	Seasonal High Traffic	1	45538	High	Yes	1	0
10782	янгнонк	Hotels	Residential	5	3908,44	Low	Yes	4,7	0
10783	пюбдю	Hotels	Seasonal Low/Mid Traffic	4	11588,55	Medium	Yes	2	358
10784	янгнонк	FSR	Residential	4	33665,63	High	Yes	2	264,5
10785	вепмнлнпеж	Hotels	Residential	5	8877,37	Low	Yes	1	0
10786	якзмвеб апъц	Cafe	Seasonal High Traffic	5	33579,39	High	Yes	5	57,5
10787	меяеазп	Supermarket	Seasonal High Traffic	2	34044	High	Yes	2,5	95,5
10788	ъямю онкъмю	Cafe	Residential	9	1764,55	Low	No	0	23
10789	пюбдю	Supermarket	Seasonal Low/Mid Traffic	4	9812,36	Low	Yes	4	536,49
10790	яберх бкюя	Bar	Seasonal Low/Mid Traffic	4	16426,11	Medium	Yes	1	311
10791	янгнонк	Hotels	Residential	5	12578,92	Medium	Yes	1,3	19
10792	янгнонк	Hotels	Residential	4	25535,13	High	Yes	1	0
10793	янгнонк	Supermarket	Residential	4	35015,5	High	Yes	2	0
10794	опхлнпяйн	FSR	Residential	3	23350,17	Medium	Yes	1	0
10795	яберх бкюя	Bar	Seasonal Low/Mid Traffic	3	13833,78	Medium	Yes	1	0
10796	янгнонк	FSR	Residential	4	34210,22	High	Yes	2	0
10797	нагнп	Cafe	Seasonal Low/Mid Traffic	5	18986,81	Medium	No	0	58
10798	нагнп	Cafe	Seasonal Low/Mid Traffic	5	22324,76	Medium	No	0	71
10799	меяеазп	Cafe	Seasonal High Traffic	2	50054,84	High	Yes	1,7	0
10800	якзмвеб апъц	Hotels	Seasonal High Traffic	2	23263,96	Medium	No	0	0
10801	янгнонк	Hotels	Residential	4	23916,91	Medium	Yes	3,7	0
10802	аспцюя	FSR	Urban High Traffic	3	50413,8	High	Yes	3	463
10803	юурнонк	Bar	Rural Affordable	5	5990,28	Low	Yes	4,5	0
10804	якзмвеб апъц	Hotels	Seasonal High Traffic	1	32830,27	High	Yes	2	353
10805	вепмнлнпеж	Hotels	Residential	5	5976,6	Low	Yes	2	0
10806	юурнонк	Hotels	Rural Affordable	5	7305,34	Low	Yes	1	0
10807	юурнонк	FSR	Rural Affordable	5	7397,47	Low	Yes	1	13
10808	жюпебн	Cafe	Residential	5	13125,04	Medium	Yes	1	26
10809	якзмвеб апъц	FSR	Seasonal High Traffic	2	20562,42	Medium	Yes	7,3	395
10810	йхрем	FSR	Seasonal Low/Mid Traffic	3	14513,53	Medium	Yes	2	0
10811	апзькъм	FSR	Rural Affordable	10	224,38	Low	Yes	1	0
10812	жюпебн	FSR	Residential	5	13856,8	Medium	Yes	1	0
10813	кнгемеж	Qsr	Seasonal Low/Mid Traffic	7	14356,8	Medium	Yes	2,5	0
10814	меяеазп	Cafe	Seasonal High Traffic	2	29523,5	High	Yes	1	0
10815	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	25224,13	Medium	Yes	1,5	0
10816	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	52861,5	High	Yes	6	834,33
10817	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	12982,46	Medium	Yes	2	0
10818	меяеазп	Cafe	Seasonal High Traffic	2	42680,34	High	Yes	0,3	0
10819	меяеазп	FSR	Seasonal High Traffic	2	12870,67	Medium	No	0	0
10820	жюпебн	Supermarket	Residential	5	7499,88	Low	Yes	4,5	345
10821	жюпебн	FSR	Residential	5	12426,27	Medium	Yes	2	0
10822	вепмнлнпеж	Hotels	Residential	5	17733,54	Medium	Yes	1	0
10823	юурнонк	Qsr	Rural Affordable	5	7511,19	Low	Yes	2	0
10824	онлнпхе	Hotels	Residential	5	1449,56	Low	No	0	0
10825	вепмнлнпеж	FSR	Residential	5	6040,47	Low	Yes	1	0
10826	янгнонк	FSR	Residential	4	26789,4	High	No	0	0
10827	янгнонк	FSR	Residential	4	27443,18	High	Yes	2	43
10828	онлнпхе	Hotels	Seasonal High Traffic	9	8415,86	Low	Yes	1	0
10829	янкмхй	Supermarket	Rural Affordable	10	17,13	Low	Yes	1	159,001
10830	чмеж	Bar	Residential	10	22,83	Low	Yes	1	0
10831	аъкю	Cafe	Seasonal Low/Mid Traffic	5	12852,67	Medium	Yes	2	126,163
10832	нагнп	Cafe	Seasonal Low/Mid Traffic	5	13130,58	Medium	Yes	2	164,833
10833	йхрем	FSR	Seasonal Low/Mid Traffic	3	15243,5	Medium	No	0	0
10834	янгнонк	Qsr	Residential	4	39495,23	High	Yes	0,7	888
10835	онлнпхе	FSR	Residential	5	13925,22	Medium	Yes	3	183
10836	аспцюя	FSR	Residential	4	12123,5	Medium	Yes	1	41
10837	ьйнпохкнбжх	Supermarket	Seasonal Low/Mid Traffic	7	5262,85	Low	Yes	2	441,165
10838	якзмвеб апъц	Hotels	Seasonal High Traffic	2	17889	Medium	Yes	5	0
10839	вепмнлнпеж	FSR	Residential	5	16411,94	Medium	Yes	2	175
10840	нагнп	FSR	Seasonal Low/Mid Traffic	5	16913,07	Medium	Yes	2	0
10841	яхмелнпеж	FSR	Rural Affordable	6	5557,48	Low	Yes	2	0
10842	пюбдю	FSR	Seasonal Low/Mid Traffic	4	9388,73	Low	Yes	1	0
10843	якзмвеб апъц	Supermarket	Residential	1	34641	High	Yes	4,5	102
10844	якзмвеб апъц	Hotels	Seasonal High Traffic	2	29611	High	Yes	1	0
10845	опхлнпяйн	FSR	Residential	3	14760,18	Medium	Yes	1	0
10846	нагнп	FSR	Seasonal Low/Mid Traffic	5	21704,57	Medium	Yes	1	67
10847	нагнп	FSR	Seasonal Low/Mid Traffic	5	21704,57	Medium	Yes	2,3	420,5
10848	меяеазп	Bar	Seasonal High Traffic	2	34254,67	High	Yes	1	0
10849	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	26940,76	High	Yes	6,7	1108
10850	меяеазп	Bar	Seasonal Low/Mid Traffic	4	13084,78	Medium	Yes	7	0
10851	нагнп	Hotels	Seasonal Low/Mid Traffic	5	16415,7	Medium	Yes	2	0
10852	нагнп	FSR	Seasonal Low/Mid Traffic	5	19384,23	Medium	Yes	1,5	444
10853	янгнонк	FSR	Residential	4	23579,34	Medium	No	0	137
10854	яберх бкюя	Supermarket	Seasonal Low/Mid Traffic	3	15099,89	Medium	Yes	3	542
10855	пюбдю	Hotels	Seasonal Low/Mid Traffic	4	13258,09	Medium	No	0	0
10856	янгнонк	Cafe	Residential	4	26943,08	High	Yes	1,7	0
10857	жюпебн	Qsr	Residential	5	10341,54	Low	Yes	2	0
10858	вепмнлнпеж	Bar	Residential	5	4098,94	Low	Yes	1	0
10859	якзмвеб апъц	Bar	Seasonal High Traffic	2	24678,55	Medium	Yes	1	57
10860	меяеазп	FSR	Residential	2	26731,9	High	Yes	2	361,5
10861	юурнонк	Cafe	Rural Affordable	5	6632,43	Low	No	0	180,98
10862	юурнонк	Supermarket	Rural Affordable	5	9872,66	Low	No	0	0
10863	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	44291,34	High	Yes	4	692,917
10864	якзмвеб апъц	Qsr	Seasonal High Traffic	1	26100	High	Yes	1	0
10865	нагнп	Qsr	Seasonal Low/Mid Traffic	5	13833,31	Medium	Yes	1	194
10866	юурнонк	FSR	Rural Affordable	5	6626,27	Low	Yes	1	101
10867	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	31642,71	High	Yes	3,5	115,666
10868	меяеазп	FSR	Seasonal High Traffic	2	33506,2	High	Yes	2,3	244
10869	жюпебн	FSR	Residential	5	6704,44	Low	Yes	0	77
10870	юурнонк	FSR	Rural Affordable	5	5360,66	Low	No	0	86
10871	юурнонк	FSR	Seasonal Low/Mid Traffic	5	4609,71	Low	Yes	1	216
10872	яберх бкюя	Supermarket	Seasonal Low/Mid Traffic	4	15391,08	Medium	Yes	2	111
10873	нагнп	Cafe	Seasonal Low/Mid Traffic	5	17492,95	Medium	Yes	1	0
10874	янгнонк	Hotels	Residential	4	15232,29	Medium	Yes	1	0
10875	якзмвеб апъц	FSR	Seasonal High Traffic	2	24494,44	Medium	Yes	2	107
10876	аспцюя	Cafe	Seasonal High Traffic	3	52997,17	High	Yes	3	589
10877	якзмвеб апъц	Hotels	Seasonal High Traffic	1	34208	High	Yes	2	0
10878	якзмвеб апъц	Hotels	Seasonal High Traffic	1	35802,5	High	No	0	546
10879	юурнонк	FSR	Rural Affordable	5	5108,44	Low	No	0	0
10880	йхрем	Supermarket	Seasonal Low/Mid Traffic	3	13089,23	Medium	Yes	1	0
10881	янгнонк	Hotels	Residential	4	25417,53	Medium	Yes	2	0
10882	янгнонк	FSR	Residential	4	29066,6	High	Yes	1	0
10883	янгнонк	Hotels	Residential	4	27373,1	High	No	0	0
10884	янгнонк	Hotels	Residential	4	30265,05	High	No	0	0
10885	янгнонк	Hotels	Residential	4	14750,93	Medium	Yes	1	0
10886	нагнп	Qsr	Seasonal Low/Mid Traffic	5	19895,78	Medium	Yes	1	38
10887	янгнонк	FSR	Residential	10	20220	Medium	Yes	3,3	0
10888	янгнонк	FSR	Residential	4	31289,9	High	Yes	4,7	0
10889	янгнонк	FSR	Seasonal Low/Mid Traffic	5	7986,27	Low	No	0	15
10890	якзмвеб апъц	Qsr	Seasonal High Traffic	1	52944	High	Yes	0	168
10891	аспцюя	Hotels	Seasonal High Traffic	3	58415,53	High	No	0	0
10892	аспцюя	Cafe	Residential	4	22158,86	Medium	Yes	1	0
10893	аспцюя	Qsr	Residential	6	4106,6	Low	Yes	2	14
10894	аспцюя	Cafe	Residential	6	14245,13	Medium	Yes	1	0
10895	нагнп	Qsr	Seasonal Low/Mid Traffic	5	20501,88	Medium	Yes	1	0
10896	аспцюя	Hotels	Residential	6	4551,34	Low	Yes	1,7	19
10897	аспцюя	Hotels	Residential	4	19988,9	Medium	Yes	5	219
10898	юрхъ	FSR	Residential	9	13607,09	Medium	Yes	1	37
10899	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	4	4940,57	Low	Yes	1,9	1048
10900	аспцюя	Cafe	Residential	4	11349,2	Medium	Yes	0	0
10901	аспцюя	FSR	Residential	6	3707,29	Low	Yes	1	28
10902	юирня	Cafe	Rural Affordable	4	2542,34	Low	Yes	4	0
10903	йхрем	Cafe	Seasonal Low/Mid Traffic	3	10854,1	Medium	Yes	4	0
10904	юуекни	FSR	Rural Affordable	6	4696,64	Low	Yes	2	124
10905	якзмвеб апъц	Qsr	Seasonal High Traffic	1	38881,5	High	Yes	0,7	18
10906	опхлнпяйн	Qsr	Residential	3	27673,51	High	Yes	1	0
10907	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	32848,6	High	Yes	6,4	2127,418
10908	янгнонк	Supermarket	Residential	4	31117	High	Yes	4,2	975,917
10909	аъкю	Qsr	Seasonal Low/Mid Traffic	4	13343,14	Medium	Yes	1	0
10910	опхлнпяйн	Supermarket	Residential	3	14213,67	Medium	Yes	4	612
10911	вепмнлнпеж	FSR	Residential	5	14387,19	Medium	Yes	1	0
10912	йхрем	Hotels	Seasonal Low/Mid Traffic	3	12783,44	Medium	No	0	0
10913	нагнп	Cafe	Seasonal Low/Mid Traffic	5	17492,95	Medium	Yes	3	296
10914	аспцюя	Bar	Seasonal High Traffic	3	24079,88	Medium	No	0	453,99
10915	онлнпхе	Supermarket	Residential	5	12850,41	Medium	Yes	5,5	360,25
10916	опхлнпяйн	Cafe	Seasonal Low/Mid Traffic	3	14878,45	Medium	No	0	0
10917	опхлнпяйн	Qsr	Seasonal Low/Mid Traffic	3	23391,29	Medium	Yes	1	0
10918	жюпебн	FSR	Seasonal Low/Mid Traffic	10	4396,44	Low	Yes	2	0
10919	янгнонк	Hotels	Seasonal Low/Mid Traffic	5	8515,7	Low	Yes	2	29
10920	юрхъ	Qsr	Residential	9	73	Low	Yes	4	163
10921	аспцюя	Cafe	Urban High Traffic	3	42496,16	High	Yes	1	0
10922	аспцюя	Cafe	Residential	4	3427,6	Low	Yes	1	164
10923	аспцюя	Supermarket	Urban High Traffic	3	58123,57	High	No	0	0
10924	янгнонк	Cafe	Residential	4	26419,71	High	Yes	1	76
10925	якзмвеб апъц	Qsr	Seasonal High Traffic	4	18075,64	Medium	No	0	0
10926	онлнпхе	Qsr	Residential	5	18392,94	Medium	Yes	2	615
10927	янгнонк	FSR	Residential	5	3694,5	Low	Yes	7	0
10928	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	3	14473,23	Medium	Yes	5,3	231
10929	якзмвеб апъц	Cafe	Seasonal High Traffic	2	21819,01	Medium	Yes	2	0
10930	опхлнпяйн	Cafe	Residential	3	18676,23	Medium	No	0	0
10931	опхлнпяйн	Cafe	Residential	3	9876,64	Low	Yes	6	292
10932	пюбдю	Hotels	Seasonal Low/Mid Traffic	4	13797	Medium	Yes	1	0
10933	жюпебн	Qsr	Residential	5	10701,3	Medium	Yes	1	0
10934	яхмелнпеж	FSR	Rural Affordable	6	5812,96	Low	Yes	1	0
10935	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	48846,67	High	Yes	5,7	879
10936	якзмвеб апъц	Qsr	Seasonal High Traffic	1	45538	High	Yes	1	119
10937	онлнпхе	Hotels	Residential	5	4205,32	Low	Yes	1,5	104
10938	пегнбн	FSR	Rural Affordable	10	486,84	Low	Yes	2,7	172
10939	меяеазп	Cafe	Seasonal High Traffic	7	30687,93	High	Yes	1	0
10940	якзмвеб апъц	Qsr	Seasonal High Traffic	2	20067,22	Medium	Yes	1	0
10941	жюпебн	FSR	Residential	5	14822,47	Medium	Yes	3	0
10942	жюпебн	Qsr	Residential	5	13715,45	Medium	Yes	1,3	0
10943	нагнп	Supermarket	Seasonal Low/Mid Traffic	5	17497,95	Medium	Yes	4	192,917
10944	якзмвеб апъц	Bar	Seasonal High Traffic	1	33460,15	High	Yes	1	735
10945	екемхре	Supermarket	Seasonal Low/Mid Traffic	7	2468,25	Low	Yes	4	430
